"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu005781","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005782","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Otu005783","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"Otu005784","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"Otu005785","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005786","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"Otu005787","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005788","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005789","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005790","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005791","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"Otu005792","Bacteria","Firmicutes",NA,NA,NA,NA,NA
"Otu005793","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005794","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005795","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"Otu005796","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005797","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella",NA
"Otu005798","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005799","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005800","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005801","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"Otu005802","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005803","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005804","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA
"Otu005805","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Butyricimonas",NA
"Otu005806","Bacteria",NA,NA,NA,NA,NA,NA
"Otu005807","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"Otu005808","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005809","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"Otu005810","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005811","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"Otu005812","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Otu005813","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"Otu005814","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005815","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Otu005816","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Otu005817","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Otu005818","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Otu005819","Bacteria","Firmicutes",NA,NA,NA,NA,NA
"Otu005820","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA
